date,hour,day,week,month,quarter,year
11-02-2015 10:37,10,11,2nd Week,2,Q1,2015
19-11-2015 19:18,19,19,3rd Week,11,Q4,2015
08-11-2016 15:41,15,8,2nd Week,11,Q4,2016
16-02-2020 12:08,12,16,3rd Week,2,Q1,2020
20-06-2019 19:06,19,20,3rd Week,6,Q2,2019
08-07-2018 01:53,1,8,2nd Week,7,Q3,2018
03-05-2014 06:16,6,3,1st Week,5,Q2,2014
13-06-2019 22:15,22,13,2nd Week,6,Q2,2019
16-01-2016 02:29,2,16,3rd Week,1,Q1,2016
17-07-2020 14:42,14,17,3rd Week,7,Q3,2020
22-06-2014 08:40,8,22,4th Week,6,Q2,2014
29-05-2020 04:33,4,29,4th Week,5,Q2,2020
18-08-2015 09:37,9,18,3rd Week,8,Q3,2015
12-05-2018 04:40,4,12,2nd Week,5,Q2,2018
26-05-2020 19:51,19,26,4th Week,5,Q2,2020
29-11-2019 00:18,0,29,4th Week,11,Q4,2019
08-11-2019 00:13,0,8,2nd Week,11,Q4,2019
19-12-2015 22:08,22,19,3rd Week,12,Q4,2015
02-11-2014 18:13,18,2,1st Week,11,Q4,2014
06-07-2015 20:11,20,6,1st Week,7,Q3,2015
15-04-2016 11:20,11,15,3rd Week,4,Q2,2016
06-05-2020 22:25,22,6,1st Week,5,Q2,2020
11-07-2019 01:05,1,11,2nd Week,7,Q3,2019
21-03-2017 09:00,9,21,3rd Week,3,Q1,2017
16-09-2015 13:36,13,16,3rd Week,9,Q3,2015
17-07-2019 07:25,7,17,3rd Week,7,Q3,2019
28-09-2018 06:20,6,28,4th Week,9,Q3,2018
09-12-2015 12:10,12,9,2nd Week,12,Q4,2015
14-07-2019 22:19,22,14,2nd Week,7,Q3,2019
08-12-2014 18:03,18,8,2nd Week,12,Q4,2014
21-06-2014 05:53,5,21,3rd Week,6,Q2,2014
27-02-2020 11:13,11,27,4th Week,2,Q1,2020
22-02-2015 21:20,21,22,4th Week,2,Q1,2015
08-11-2017 00:14,0,8,2nd Week,11,Q4,2017
28-08-2018 17:53,17,28,4th Week,8,Q3,2018
30-03-2014 04:50,4,30,4th Week,3,Q1,2014
16-12-2017 11:09,11,16,3rd Week,12,Q4,2017
27-05-2018 21:53,21,27,4th Week,5,Q2,2018
16-11-2016 23:32,23,16,3rd Week,11,Q4,2016
03-03-2017 18:36,18,3,1st Week,3,Q1,2017
02-01-2021 15:41,15,2,1st Week,1,Q1,2021
02-07-2014 19:39,19,2,1st Week,7,Q3,2014
17-08-2017 05:37,5,17,3rd Week,8,Q3,2017
11-08-2014 07:23,7,11,2nd Week,8,Q3,2014
21-08-2015 14:10,14,21,3rd Week,8,Q3,2015
12-11-2017 12:26,12,12,2nd Week,11,Q4,2017
11-07-2016 11:30,11,11,2nd Week,7,Q3,2016
16-01-2018 16:39,16,16,3rd Week,1,Q1,2018
14-10-2018 03:35,3,14,2nd Week,10,Q4,2018
06-07-2019 11:20,11,6,1st Week,7,Q3,2019
02-03-2017 07:52,7,2,1st Week,3,Q1,2017
24-08-2020 22:07,22,24,4th Week,8,Q3,2020
22-06-2017 06:13,6,22,4th Week,6,Q2,2017
20-11-2015 06:25,6,20,3rd Week,11,Q4,2015
07-06-2020 21:05,21,7,1st Week,6,Q2,2020
13-08-2016 14:17,14,13,2nd Week,8,Q3,2016
23-01-2014 09:09,9,23,4th Week,1,Q1,2014
28-08-2019 22:50,22,28,4th Week,8,Q3,2019
16-01-2018 20:43,20,16,3rd Week,1,Q1,2018
20-09-2015 21:39,21,20,3rd Week,9,Q3,2015
01-07-2017 19:00,19,1,1st Week,7,Q3,2017
26-01-2014 09:56,9,26,4th Week,1,Q1,2014
05-04-2018 07:45,7,5,1st Week,4,Q2,2018
24-05-2020 12:16,12,24,4th Week,5,Q2,2020
27-10-2019 03:59,3,27,4th Week,10,Q4,2019
02-07-2016 11:43,11,2,1st Week,7,Q3,2016
16-11-2015 06:48,6,16,3rd Week,11,Q4,2015
23-09-2015 16:39,16,23,4th Week,9,Q3,2015
07-09-2020 07:48,7,7,1st Week,9,Q3,2020
17-02-2015 03:42,3,17,3rd Week,2,Q1,2015
04-07-2020 01:01,1,4,1st Week,7,Q3,2020
19-05-2016 23:52,23,19,3rd Week,5,Q2,2016
07-07-2014 10:35,10,7,1st Week,7,Q3,2014
16-03-2014 08:00,8,16,3rd Week,3,Q1,2014
29-10-2016 13:41,13,29,4th Week,10,Q4,2016
07-01-2016 06:46,6,7,1st Week,1,Q1,2016
18-02-2019 16:26,16,18,3rd Week,2,Q1,2019
28-04-2018 06:06,6,28,4th Week,4,Q2,2018
22-08-2015 08:48,8,22,4th Week,8,Q3,2015
03-09-2017 13:54,13,3,1st Week,9,Q3,2017
01-08-2018 13:03,13,1,1st Week,8,Q3,2018
13-04-2016 17:39,17,13,2nd Week,4,Q2,2016
29-07-2015 21:23,21,29,4th Week,7,Q3,2015
20-07-2018 04:00,4,20,3rd Week,7,Q3,2018
02-04-2020 10:26,10,2,1st Week,4,Q2,2020
15-12-2016 21:24,21,15,3rd Week,12,Q4,2016
